,company,model,engine,engine2,year,km,location,money
398,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
399,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
400,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
401,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
402,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
403,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
404,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
405,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
406,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
407,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
408,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
409,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
410,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
411,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
412,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
413,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
414,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
415,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
416,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
417,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
418,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
419,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
420,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
421,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
422,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
423,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
424,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
425,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
426,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
427,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
428,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
429,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
430,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
431,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
432,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
433,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
434,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
