,company,model,engine,engine2,year,km,location,money
151,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
152,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
153,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
154,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
155,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
156,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
157,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
158,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
159,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
160,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
161,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
162,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
163,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
164,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
165,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
166,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
167,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
168,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
169,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
170,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
171,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
172,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
173,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
174,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
175,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
176,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
177,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
178,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
179,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
180,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
181,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
182,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
183,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
184,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
185,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
186,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
187,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
188,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
189,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
190,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
191,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
192,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
193,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
194,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
195,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
196,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
197,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
198,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
199,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
200,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
201,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
202,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
203,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
204,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
205,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
206,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
207,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
208,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
209,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
210,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
211,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
212,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
213,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
214,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
215,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
216,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
217,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
218,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
219,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
220,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
221,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
222,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
223,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
224,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
225,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
226,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
227,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
228,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
229,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
230,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
231,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
232,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
233,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
234,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
235,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
236,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
237,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
238,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
239,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
240,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
241,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
